url,transferSize,decodedBodySize,resourceCount,scriptCount,imageCount,divCount,Runtime,RAPL package-0 (J),RAPL package-0-core (J),RAPL package-0-uncore (J),INA system energy (J)
rechtspraak.nl/Organisatie-en-contact/Organisatie/Rechtbanken/Rechtbank-Zeeland-West-Brabant,779,479,0,0,0,0,4.0310655,0.54958606,0.11403638,0.000122,1.3276157
dijkenwaard.nl,0,0,0,0,0,0,4.0430193,0.54976535,0.1302467,0,1.5786076
dijkenwaard.nl,0,0,0,0,0,0,4.0472927,0.62785983,0.24896055,0.000123,1.72404
dijkenwaard.nl,0,0,0,0,0,0,4.0493193,0.38880587,0.110765934,0,1.2501602
dijkenwaard.nl,0,0,0,0,0,0,4.0492187,0.1760974,0.06220156,0,0.75041485
dijkenwaard.nl,0,0,0,0,0,0,4.048362,0.84420633,0.15958881,0.000061,1.6588345
geldersarchief.nl,361,61,0,0,0,0,4.0218844,0.3067975,0.18678671,0,1.4758549
geldersarchief.nl,361,61,0,0,0,0,4.0233917,0.48107433,0.08854562,0,1.1907902
geldersarchief.nl,361,61,0,0,0,0,4.0222545,0.5261824,0.19544697,0.000122,1.7249184
geldersarchief.nl,361,61,0,0,0,0,4.0206447,0.30014634,0.10315609,0,0.47899342
geldersarchief.nl,361,61,0,0,0,0,4.0195694,0.3316064,0.08480096,0,0.6692152
ggd.groningen.nl,41831,41531,23,10,7,82,4.5233846,1.3733807,0.4707799,0.000122,4.1126823
ggd.groningen.nl,41831,41531,23,10,7,82,4.531873,0.9386022,0.35366225,0,2.559946
ggd.groningen.nl,41831,41531,23,10,7,82,4.542254,1.1245887,0.512316,0.000183,2.6899195
ggd.groningen.nl,41831,41531,23,10,7,82,4.535351,0.9966605,0.410083,0,2.0823936
ggd.groningen.nl,41831,41531,23,10,7,82,4.557431,0.8876898,0.36923623,0,2.1202526
boxtel.nl,16554,97573,34,4,11,156,4.254282,1.9221284,0.8229772,0,5.762599
boxtel.nl,16554,97573,34,4,11,156,4.239818,1.8890736,0.80857426,0,3.8617105
boxtel.nl,16554,97573,34,4,11,156,4.234481,1.9666982,0.8700523,0.000122,4.4377203
boxtel.nl,16554,97573,34,4,11,156,4.2583637,3.2225015,0.80982757,0,6.627267
boxtel.nl,16554,97573,34,4,11,156,4.2352395,1.6779201,0.7267842,0,3.5920496
gouda.nl,18674,88939,38,23,13,183,4.8866677,4.1215353,2.2960792,0,8.911872
gouda.nl,18674,88939,38,23,13,183,4.9059386,2.2287116,1.1485186,0,5.0505924
gouda.nl,18674,88939,38,23,13,183,4.874415,2.6035933,1.1831851,0.000122,5.6928873
gouda.nl,18674,88939,38,23,13,183,4.863927,2.2407293,1.1092075,0,4.8131847
