Language,Benchmark,Runtime (s),RAPL package-0 (J),RAPL package-0-core (J),RAPL psys (J),INA system energy (J)
Go,varying-allocations,1.77938080,6.40507221,5.25456381,0.11239377,19.44361496
Go,varying-allocations,1.77020574,6.39000225,5.22726059,0.11198425,19.58502007
Go,varying-allocations,1.77637148,6.46771812,5.22684288,0.11323217,21.73024559
Go,varying-allocations,1.74850988,6.31166697,5.16388941,0.11091579,19.62380981
Go,varying-allocations,1.78131962,6.40722179,5.23612547,0.11480486,19.44014931
Go,varying-allocations,1.76646686,6.35123825,5.20302963,0.11283590,21.49795532
Go,varying-allocations,1.75904787,6.32848358,5.19642878,0.11221829,19.41746902
Go,varying-allocations,1.75609446,6.32438660,5.19128513,0.11256885,19.45399857
Go,varying-allocations,1.76696348,6.35384655,5.22525787,0.11276825,21.40331650
Go,varying-allocations,1.75026822,6.33675432,5.20619678,0.11131568,19.68316650
Go,varying-allocations,1.75203311,6.31696987,5.18991137,0.11104447,19.49251175
Go,varying-allocations,1.77499187,6.49206352,5.26262093,0.11221644,19.54521179
Go,varying-allocations,1.77517581,6.45892525,5.24240160,0.11349561,21.82613373
Go,varying-allocations,1.76990366,6.39739180,5.21856308,0.11235591,19.61680984
Go,varying-allocations,1.76644444,6.35890341,5.21304178,0.11173825,21.49799538
Go,varying-allocations,1.78673625,6.48280191,5.29937792,0.11234034,19.49296379
Go,varying-allocations,1.75440145,6.33996391,5.20249748,0.11222895,19.48827744
Go,varying-allocations,1.75727224,6.36171150,5.21521807,0.11041468,19.42064285
Go,varying-allocations,1.77686334,6.41045856,5.24449444,0.11218758,21.66686630
Go,varying-allocations,1.79044652,6.53845882,5.35724258,0.11600713,19.58008003
Go,varying-allocations,1.77072334,6.48266411,5.24460506,0.11527327,21.86534500
Go,varying-allocations,1.76484668,6.40588093,5.24798775,0.11426488,19.53210068
Go,varying-allocations,1.77473295,6.42912960,5.24940252,0.11722544,21.60817528
Go,varying-allocations,1.75290143,6.38153362,5.22681475,0.11481508,19.55345917
Go,varying-allocations,1.77552915,6.45535851,5.29406261,0.11275716,19.51300240
Go,varying-allocations,1.74973893,6.31411839,5.19202757,0.11205684,19.46536255
Roc Nea,csv-svg-path,2.11165905,8.30850792,6.63044691,0.14187600,24.44327927
Roc Nea,csv-svg-path,2.09949589,8.19894409,6.53452730,0.14157556,27.30877686
Roc Nea,csv-svg-path,2.08143020,8.06201744,6.50534725,0.14148714,24.68482590
Roc Nea,csv-svg-path,2.10269785,8.13787651,6.53403234,0.14085418,26.95930099
Roc Nea,csv-svg-path,2.06531000,8.02653313,6.48220205,0.13563271,24.71364784
Roc Nea,csv-svg-path,2.09753036,7.99896336,6.47533274,0.13623486,24.46854019
Roc Nea,csv-svg-path,2.10750580,8.06918716,6.49810123,0.13821705,26.54445457
Roc Nea,csv-svg-path,2.09420896,8.02055264,6.48279905,0.13652909,24.44322968
Roc Nea,csv-svg-path,2.12307310,8.22532368,6.54895067,0.14096698,26.86037254
Roc Nea,csv-svg-path,2.08603263,8.09040070,6.52204895,0.13873117,24.67659760
Roc Nea,csv-svg-path,2.08573675,8.13751507,6.54960394,0.14178772,26.98962593
Roc Nea,csv-svg-path,2.10136890,8.20199394,6.56107903,0.13910466,24.96167755
Roc Nea,csv-svg-path,2.11989021,8.04563618,6.50769567,0.14254306,26.36606216
Roc Nea,csv-svg-path,2.10360360,8.11192608,6.52985525,0.14029121,24.73893166
Roc Nea,csv-svg-path,2.07498670,8.04279900,6.49248743,0.13823050,26.69634628
Roc Nea,csv-svg-path,2.09802771,8.29032707,6.58252287,0.14037719,25.15515137
Roc Nea,csv-svg-path,2.08959651,8.12633896,6.55264616,0.14008020,24.92022514
Roc Nea,csv-svg-path,2.13067222,8.12473774,6.55077124,0.14158282,26.72178650
Roc Nea,csv-svg-path,2.06800461,8.06504631,6.52234364,0.14090116,24.55257988
Roc Nea,csv-svg-path,2.08790350,8.11365795,6.53169250,0.14224231,26.98575211
Roc Nea,csv-svg-path,2.12169242,8.13614368,6.56226873,0.14282028,24.67534065
Roc Nea,csv-svg-path,2.08743811,8.18204308,6.52465773,0.13864848,27.04908371
Roc Nea,csv-svg-path,2.07543588,8.07252312,6.52259541,0.14115256,24.78929329
Roc Nea,csv-svg-path,2.08646703,8.13467693,6.53525066,0.14043346,24.80082130
Roc Nea,csv-svg-path,2.11659122,8.12438011,6.55074263,0.14228794,26.80946159
Roc Nea,csv-svg-path,2.10848999,8.16120911,6.56209278,0.14223087,24.76144600
Roc Nea,csv-svg-path,2.08843875,8.21758270,6.58193302,0.14095205,26.98479462
Roc Nea,csv-svg-path,2.08089662,8.17409229,6.55386114,0.13905436,25.09202957
Roc Nea,csv-svg-path,2.10203433,8.18784714,6.58158302,0.14251241,27.21048737
Roc Nea,csv-svg-path,2.13538814,8.34159660,6.62349272,0.14260910,24.99460411
Roc Nea,csv-svg-path,2.11552453,8.15797997,6.54993105,0.14407539,26.78011894
Roc Nea,csv-svg-path,2.12267780,8.23921204,6.60221052,0.14347610,26.82982826
Roc Nea,csv-svg-path,2.10528564,8.12950706,6.54910040,0.13904428,24.95467377
Roc Nea,csv-svg-path,2.08935785,8.16725540,6.57336044,0.13947289,24.57690239
Roc Nea,csv-svg-path,2.12559986,8.13819599,6.57061434,0.14031804,26.85585403
Roc Nea,csv-svg-path,2.09117508,8.12681770,6.56317282,0.14170387,24.63615417
Roc Nea,csv-svg-path,2.08718300,8.13710976,6.55086660,0.14036143,26.98704147
Roc Nea,csv-svg-path,2.10991907,8.19794178,6.58270502,0.14165883,24.85264015
